mineral,date,data_transformation,obs_value
Cobalt,2022-04,INDEX,321.208016196472
Cobalt,2022-05,INDEX,305.2281299955756
Cobalt,2022-06,INDEX,282.9858396475089
Cobalt,2022-07,INDEX,218.7975954638489
Cobalt,2022-08,INDEX,193.6461234676165
Cobalt,2022-09,INDEX,202.3118386901084
Cobalt,2022-10,INDEX,202.2876038931267
Cobalt,2022-11,INDEX,202.2693534164098
Cobalt,2022-12,INDEX,202.2425769834066
Cobalt,2023-01,INDEX,191.9398981115072
Cobalt,2023-02,INDEX,143.7948496043979
Cobalt,2023-03,INDEX,132.9954847810821
Cobalt,2023-04,INDEX,135.4838419839327
Cobalt,2023-05,INDEX,130.1462937999787
Cobalt,2023-06,INDEX,115.2661177352448
Cobalt,2023-07,INDEX,129.5284147653491
Cobalt,2023-08,INDEX,129.5219527564761
Cobalt,2023-09,INDEX,129.5267784277767
Cobalt,2023-10,INDEX,129.5301913604277
Cobalt,2023-11,INDEX,129.6125735193012
Cobalt,2023-12,INDEX,117.9171036089395
Cobalt,2024-01,INDEX,112.6772518925703
Cobalt,2024-02,INDEX,111.0263458339587
Cobalt,2024-03,INDEX,111.0707607109245
Cobalt,2024-04,INDEX,109.9503710006549
Cobalt,2024-05,INDEX,107.7635862849858
Cobalt,2024-06,INDEX,105.3489837966821
Cobalt,2024-07,INDEX,103.6831295402568
Cobalt,2024-08,INDEX,98.61751349634226
Cobalt,2024-09,INDEX,94.56862356054992
Cobalt,2024-10,INDEX,95.15322904272858
Cobalt,2024-11,INDEX,95.40081809738234
Cobalt,2024-12,INDEX,95.43120722372736
Cobalt,2025-01,INDEX,93.38888718507464
Cobalt,2025-02,INDEX,85.3032267262191
Cobalt,2025-03,INDEX,123.8434507712361
Cobalt,2025-04,INDEX,130.8296516540774
Cobalt,2025-05,INDEX,130.6203492027684
Cobalt,2025-06,INDEX,129.4596418348052
Cobalt,2025-07,INDEX,129.1861335995478
Cobalt,2025-08,INDEX,129.1894123728451
Cobalt,2025-09,INDEX,131.4911188040354
Cobalt,2025-10,INDEX,169.442385669852
Cobalt,2025-11,INDEX,189.0513814757995
Cobalt,2025-12,INDEX,203.7149684068692
Cobalt,2026-01,INDEX,217.9607001754448
Cobalt,2026-02,INDEX,219.3667931507913
Cobalt,2026-03,INDEX,219.3321890738733
Cobalt,2005-01,USD,34645.41692789969
Cobalt,2005-02,USD,33487.83740856842
Cobalt,2005-03,USD,30406.80605151969
Cobalt,2005-04,USD,32460.4536000398
Cobalt,2005-05,USD,29070.72062315948
Cobalt,2005-06,USD,26714.32886862356
Cobalt,2005-07,USD,25135.31850524957
Cobalt,2005-08,USD,29046.20562446048
Cobalt,2005-09,USD,29206.50707704
Cobalt,2005-10,USD,25262.82529730807
Cobalt,2005-11,USD,25066.67616604921
Cobalt,2005-12,USD,26867.5026123302
Cobalt,2006-01,USD,25742.29657072292
Cobalt,2006-02,USD,23816.44723093
Cobalt,2006-03,USD,25487.89496161008
Cobalt,2006-04,USD,28037.83281086733
Cobalt,2006-05,USD,28344.52228431243
Cobalt,2006-06,USD,26557.01529400588
Cobalt,2006-07,USD,26079.90963825447
Cobalt,2006-08,USD,31604.26114215622
Cobalt,2006-09,USD,35804.25416728862
Cobalt,2006-10,USD,34671.08387954783
Cobalt,2006-11,USD,35271.3593616415
Cobalt,2006-12,USD,52650.76379559133
Cobalt,2007-01,USD,47696.25187406296
Cobalt,2007-02,USD,48680.27168234065
Cobalt,2007-03,USD,55929.11560748545
Cobalt,2007-04,USD,57833.43782654124
Cobalt,2007-05,USD,54685.36640770517
Cobalt,2007-06,USD,52152.01273821962
Cobalt,2007-07,USD,49984.31841930273
Cobalt,2007-08,USD,46381.58557085091
Cobalt,2007-09,USD,52218.5851619645
Cobalt,2007-10,USD,54467.57530325743
Cobalt,2007-11,USD,59468.67103638259
Cobalt,2007-12,USD,72600.80609046132
Cobalt,2008-01,USD,83037.80836854283
Cobalt,2008-02,USD,91011.22555605305
Cobalt,2008-03,USD,95022.91884360838
Cobalt,2008-04,USD,92483.822551534
Cobalt,2008-05,USD,88923.56796808192
Cobalt,2008-06,USD,84657.57078170871
Cobalt,2008-07,USD,74009.37712961705
Cobalt,2008-08,USD,50482.28093745333
Cobalt,2008-09,USD,58288.81922675023
Cobalt,2008-10,USD,62763.4364635863
Cobalt,2008-11,USD,41394.16927899687
Cobalt,2008-12,USD,27996.05651719594
Cobalt,2009-01,USD,30717.54535955163
Cobalt,2009-02,USD,30601.63009404391
Cobalt,2009-03,USD,26494.91783034102
Cobalt,2009-04,USD,29165.10876793005
Cobalt,2009-05,USD,29794.95447081653
Cobalt,2009-06,USD,27447.07893986892
Cobalt,2009-07,USD,31916.29639725593
Cobalt,2009-08,USD,35064.367816092
